ID;assignment;blog;chat;course;forum;quiz;resource;upload;user;PeriodoLetivo;StatusFinal
36365-7098;24;0;87;94;195;8;22;0;8;20130202;INsucesso
36368-5388;43;0;31;42;67;71;81;2;1;20120202;SUCESSO
36373-5469;28;0;16;121;70;38;84;5;32;20120202;SUCESSO
36375-7098;14;0;38;49;114;33;10;3;0;20130202;SUCESSO
36379-5469;85;0;14;95;145;33;63;5;33;20120202;SUCESSO
36382-5469;2;0;0;5;2;0;9;0;1;20120202;INsucesso
36384-7098;27;0;3;25;74;25;43;0;1;20130202;INsucesso
36387-5388;47;0;52;160;337;31;83;6;5;20120202;SUCESSO
36389-5469;38;0;8;54;34;18;80;3;0;20120202;SUCESSO
36390-5468;15;0;2;16;5;19;132;2;6;20120202;INsucesso
36396-5714;30;0;4;52;44;44;27;2;6;20130102;SUCESSO
36399-5468;16;0;3;65;22;37;30;1;1;20120202;INsucesso
36399-6398;48;0;8;51;9;43;26;2;3;20130102;SUCESSO
36435-7118;59;0;31;117;252;101;105;3;7;20130202;SUCESSO
36453-5468;45;0;16;29;44;7;7;1;40;20120202;INsucesso
36453-7274;66;0;19;69;56;35;62;1;89;20130202;SUCESSO
36456-6388;36;0;14;74;132;57;79;3;9;20130102;SUCESSO
36466-7118;13;0;29;51;196;62;71;3;8;20130202;SUCESSO
36482-7118;12;0;0;33;62;0;10;2;15;20130202;SUCESSO
36483-5468;20;0;0;93;168;20;35;4;67;20120202;INsucesso
36483-7274;18;1;0;81;135;35;11;2;30;20130202;SUCESSO
36491-7098;33;0;21;71;204;13;61;2;15;20130202;SUCESSO
36509-5469;48;0;59;85;180;41;122;2;7;20120202;SUCESSO
36520-5388;5;0;0;4;0;0;0;2;0;20120202;INsucesso
36520-5714;2;0;0;4;2;0;2;0;0;20130102;INsucesso
36526-5388;17;0;28;79;134;19;38;0;36;20120202;SUCESSO
36577-6398;23;0;0;40;38;89;55;5;15;20130102;SUCESSO
36614-6388;4;1;5;15;78;35;4;0;4;20130102;INsucesso
36634-7098;27;0;28;130;351;57;81;0;23;20130202;SUCESSO
36691-5469;10;0;0;33;39;15;17;1;9;20120202;INsucesso
36691-5714;20;1;2;72;156;24;36;1;18;20130102;SUCESSO
36707-5714;3;0;0;2;7;0;2;0;0;20130102;INsucesso
