ID;assignment;blog;chat;course;forum;quiz;resource;upload;user;PeriodoLetivo;StatusFinal
10088-5714;11;0;15;28;28;7;45;0;4;20130102;INsucesso
10127-5469;20;0;2;43;16;23;55;2;2;20120202;SUCESSO
10786-5469;64;0;0;42;50;40;12;11;6;20120202;SUCESSO
110-7098;17;1;6;14;64;12;3;0;10;20130202;INsucesso
11091-6388;19;0;29;59;124;32;61;1;8;20130102;SUCESSO
11848-6398;14;0;3;40;30;14;20;1;2;20130102;INsucesso
11848-7098;8;0;0;21;41;21;3;1;4;20130202;SUCESSO
12526-6388;15;0;0;23;54;0;5;1;1;20130102;SUCESSO
13005-6398;33;0;1;25;22;10;53;2;13;20130102;SUCESSO
13016-5468;37;0;10;90;199;12;55;2;9;20120202;INsucesso
13142-6388;35;1;4;92;117;31;18;1;23;20130102;SUCESSO
13179-5388;7;0;0;3;1;1;5;0;0;20120202;INsucesso
13179-5714;31;0;4;36;48;5;20;1;1;20130102;SUCESSO
13190-5468;19;0;0;60;55;24;41;1;1;20120202;SUCESSO
13298-7098;0;0;0;9;2;0;14;0;1;20130202;INsucesso
13342-4130;29;0;1;39;23;115;21;4;1;20120102;INsucesso
13342-5468;20;0;18;50;119;0;12;8;18;20120202;SUCESSO
13420-6398;31;0;9;99;169;66;128;1;7;20130102;SUCESSO
13511-6389;19;1;7;92;145;75;52;3;36;20130102;SUCESSO
13564-6388;8;0;7;51;29;3;71;0;28;20130102;INsucesso
14004-4604;30;0;9;58;49;18;54;2;7;20120102;SUCESSO
14034-6398;25;0;15;22;43;24;29;1;3;20130102;SUCESSO
15073-5714;9;0;0;32;16;51;8;1;0;20130102;INsucesso
15217-7098;37;0;2;37;63;73;28;6;5;20130202;SUCESSO
15396-4130;13;0;2;22;26;35;20;3;1;20120102;INsucesso
15396-5469;22;0;0;27;0;36;15;3;10;20120202;SUCESSO
15432-5469;27;0;22;119;42;1;35;1;6;20120202;SUCESSO
15494-5714;31;0;65;53;53;102;80;2;43;20130102;SUCESSO
15669-6398;14;0;4;45;56;23;43;1;6;20130102;SUCESSO
15818-5469;33;0;15;43;40;15;55;3;1;20120202;SUCESSO
17083-4604;45;0;24;115;251;49;118;3;4;20120102;SUCESSO
17356-5388;24;0;1;63;105;2;25;7;2;20120202;INsucesso
17540-5468;41;6;14;138;209;58;54;8;20;20120202;SUCESSO
17604-4130;15;0;26;233;148;29;39;1;80;20120102;SUCESSO
17813-4130;36;0;40;72;64;24;39;1;31;20120102;SUCESSO
17874-5388;37;0;15;62;122;33;65;3;30;20120202;SUCESSO
18027-4130;42;0;32;62;73;61;43;6;2;20120102;SUCESSO
18030-4130;34;0;3;33;70;28;20;5;9;20120102;SUCESSO
18047-6398;146;2;21;245;452;52;80;1;39;20130102;INsucesso
18070-6388;22;0;1;40;51;21;26;1;2;20130102;SUCESSO
18081-5468;22;0;0;25;27;1;17;2;5;20120202;INsucesso
18163-4605;13;0;14;22;5;19;61;2;0;20120102;INsucesso
18163-6398;6;0;0;25;16;55;30;0;0;20130102;SUCESSO
18184-7098;11;0;8;16;4;0;1;1;7;20130202;INsucesso
18187-4605;34;0;44;108;131;36;53;4;109;20120102;SUCESSO
18201-4605;29;0;23;58;73;6;3;2;10;20120102;INsucesso
18208-6389;16;0;0;23;61;0;2;0;1;20130102;INsucesso
18208-7098;3;0;0;28;37;22;2;0;2;20130202;INsucesso
18217-4605;35;0;36;46;59;45;32;2;14;20120102;SUCESSO
18267-4130;29;0;12;113;150;19;42;2;52;20120102;SUCESSO
18297-6388;9;0;0;14;7;5;12;1;0;20130102;INsucesso
18399-6388;27;0;0;45;13;10;7;2;1;20130102;SUCESSO
18523-7274;23;1;25;74;222;96;117;1;29;20130202;SUCESSO
18571-4604;11;0;0;7;14;1;2;0;1;20120102;INsucesso
18672-6398;32;5;5;89;27;81;45;2;65;20130102;SUCESSO
18700-5469;22;0;0;35;27;17;8;2;1;20120202;INsucesso
18875-7118;28;0;2;79;238;40;55;0;5;20130202;SUCESSO
18900-7118;22;0;7;22;73;2;58;0;18;20130202;INsucesso
18926-4605;26;0;0;19;6;46;25;3;6;20120102;INsucesso
19254-6389;22;1;29;75;101;63;34;1;24;20130102;SUCESSO
19260-6389;26;0;11;73;81;35;23;0;1;20130102;SUCESSO
19683-4605;21;0;5;36;17;31;6;1;6;20120102;INsucesso
19850-6398;24;0;2;27;24;17;17;1;1;20130102;INsucesso
19904-4605;29;0;1;33;64;38;44;4;3;20120102;INsucesso
20306-7274;11;0;3;16;10;5;12;1;24;20130202;INsucesso
21251-5469;5;0;12;13;12;0;13;0;9;20120202;SUCESSO
21340-5468;24;0;6;51;50;40;38;2;8;20120202;INsucesso
21340-6398;27;0;34;118;66;34;57;2;25;20130102;SUCESSO
21367-4605;27;3;12;44;39;27;40;1;23;20120102;INsucesso
21367-6398;32;1;1;73;46;128;64;2;7;20130102;SUCESSO
21380-5714;18;0;4;45;35;0;73;1;1;20130102;SUCESSO
21393-4605;16;0;28;121;89;3;19;1;14;20120102;SUCESSO
21598-4604;23;0;22;40;65;47;16;2;2;20120102;SUCESSO
21640-5714;0;0;0;1;0;0;3;0;0;20130102;INsucesso
21659-5388;35;0;10;140;182;17;64;3;12;20120202;SUCESSO
21708-5468;14;0;1;89;137;17;20;0;13;20120202;INsucesso
21788-5469;27;0;4;43;67;12;27;4;10;20120202;SUCESSO
21888-7274;22;0;16;42;79;74;47;2;0;20130202;SUCESSO
21911-4130;16;0;5;44;24;14;36;0;6;20120102;SUCESSO
22034-4605;44;0;27;38;35;204;22;4;1;20120102;SUCESSO
22189-4604;28;0;15;54;93;9;36;3;11;20120102;SUCESSO
22212-4604;65;0;0;54;53;91;85;3;9;20120102;SUCESSO
22222-4130;52;0;4;116;162;29;43;3;8;20120102;SUCESSO
22256-4605;0;0;24;6;4;0;2;0;0;20120102;INsucesso
22256-6388;5;0;1;27;24;0;1;0;1;20130102;INsucesso
22293-7098;5;0;19;20;90;8;44;0;5;20130202;SUCESSO
22305-5468;29;0;3;32;47;0;39;3;0;20120202;SUCESSO
22316-4130;14;0;21;44;42;8;47;0;6;20120102;INsucesso
22418-4130;69;0;17;210;232;91;115;8;119;20120102;SUCESSO
22440-4604;28;0;16;34;17;40;29;3;1;20120102;SUCESSO
22460-7274;8;0;1;12;26;3;4;0;0;20130202;INsucesso
22469-7274;32;0;19;131;149;118;31;1;77;20130202;SUCESSO
22475-4605;30;0;12;82;124;17;90;3;1;20120102;SUCESSO
22499-5388;32;0;1;20;63;3;27;8;0;20120202;SUCESSO
22507-4130;10;0;12;71;76;20;47;2;24;20120102;SUCESSO
22513-4605;6;0;0;9;7;15;12;0;6;20120102;INsucesso
22522-4604;18;0;3;55;75;5;21;1;2;20120102;INsucesso
22522-6398;13;0;5;45;43;17;16;1;4;20130102;INsucesso
22554-6398;24;0;1;48;21;22;47;4;8;20130102;SUCESSO
22611-4130;0;0;7;1;0;0;0;0;0;20120102;INsucesso
22614-4604;27;0;6;46;39;30;29;3;4;20120102;INsucesso
22677-5469;34;0;6;19;30;22;12;3;2;20120202;SUCESSO
22694-4604;43;0;6;37;42;50;13;1;4;20120102;SUCESSO
22788-5468;33;0;22;119;467;37;85;1;5;20120202;SUCESSO
22801-5468;0;0;0;1;0;0;0;0;0;20120202;INsucesso
22906-7098;25;0;1;67;68;42;78;3;4;20130202;SUCESSO
22929-7118;14;0;1;41;114;19;39;4;21;20130202;INsucesso
22946-7274;14;0;2;31;63;23;4;0;4;20130202;INsucesso
22977-7118;23;0;3;99;315;33;94;1;6;20130202;SUCESSO
23038-6398;34;0;2;44;25;49;28;5;8;20130102;INsucesso
23038-7274;39;0;0;33;28;12;17;8;16;20130202;INsucesso
23180-5388;16;0;5;22;26;6;5;0;21;20120202;SUCESSO
23184-6389;3;2;24;9;31;0;23;0;20;20130102;INsucesso
23725-4605;24;0;17;68;52;40;62;4;19;20120102;INsucesso
23725-5468;24;0;11;74;153;34;62;9;33;20120202;SUCESSO
23754-6398;12;0;0;33;68;23;18;2;9;20130102;SUCESSO
23953-5468;45;0;6;74;49;49;43;3;7;20120202;INsucesso
23953-6388;25;2;20;113;47;194;35;1;6;20130102;SUCESSO
24091-6398;23;0;7;62;148;119;26;1;15;20130102;SUCESSO
24108-4130;22;0;2;34;58;33;27;3;6;20120102;SUCESSO
24676-6388;16;0;1;31;74;1;36;1;4;20130102;INsucesso
24676-7274;12;0;0;23;11;1;17;1;1;20130202;INsucesso
24794-4130;24;0;16;47;21;36;35;4;4;20120102;INsucesso
24986-5469;25;0;11;49;30;13;82;3;33;20120202;SUCESSO
25130-4130;17;0;1;33;67;30;40;3;25;20120102;SUCESSO
26702-4605;41;0;135;227;232;118;97;1;157;20120102;SUCESSO
26721-4130;12;0;3;14;10;11;7;2;0;20120102;INsucesso
26859-6398;46;1;18;158;221;79;101;6;56;20130102;SUCESSO
26983-4605;10;0;0;11;12;13;10;2;0;20120102;SUCESSO
271-7274;18;0;15;36;28;27;80;3;11;20130202;SUCESSO
27328-4130;35;2;5;77;156;29;47;5;26;20120102;SUCESSO
27383-5468;15;0;0;10;9;0;1;2;0;20120202;INsucesso
27383-7098;0;0;0;2;0;0;0;0;0;20130202;INsucesso
27420-7274;10;1;0;25;36;12;24;1;9;20130202;SUCESSO
27473-5469;2;0;0;1;0;0;0;0;0;20120202;INsucesso
27503-4130;21;0;8;55;209;34;49;1;6;20120102;SUCESSO
27601-7118;24;1;39;137;95;36;68;3;26;20130202;SUCESSO
27658-4604;13;0;0;8;6;0;6;3;0;20120102;INsucesso
27708-4605;22;0;1;40;73;69;52;3;14;20120102;SUCESSO
27794-4604;37;1;6;28;43;41;43;2;12;20120102;INsucesso
27794-6398;69;0;3;76;108;67;48;1;27;20130102;SUCESSO
27804-4605;19;0;2;13;9;16;1;1;7;20120102;SUCESSO
27881-4604;9;0;0;19;2;0;3;1;0;20120102;INsucesso
27881-5388;23;0;50;68;44;1;22;3;11;20120202;SUCESSO
27888-4130;50;0;31;80;121;59;69;5;8;20120102;SUCESSO
27916-5714;13;0;0;14;7;0;8;1;0;20130102;INsucesso
27916-7118;0;0;0;1;0;0;0;0;0;20130202;INsucesso
27934-7098;14;0;0;61;105;17;41;1;7;20130202;SUCESSO
27941-4130;35;0;1;145;307;22;53;4;18;20120102;SUCESSO
27970-4130;16;0;2;32;26;32;36;2;3;20120102;INsucesso
27980-4604;7;0;10;20;18;2;95;0;0;20120102;INsucesso
27992-5469;11;0;0;14;0;7;23;1;0;20120202;SUCESSO
27997-5714;25;0;0;29;21;51;12;1;0;20130102;INsucesso
28007-5388;46;0;5;56;66;15;37;5;5;20120202;SUCESSO
28022-4605;34;2;18;60;69;26;24;6;16;20120102;INsucesso
28022-6388;26;0;0;26;35;78;12;1;6;20130102;SUCESSO
28026-7118;21;0;20;99;111;32;113;0;5;20130202;SUCESSO
28034-4604;25;0;15;36;35;27;29;4;2;20120102;SUCESSO
28039-4605;1;0;1;10;6;0;9;0;5;20120102;INsucesso
28102-5388;44;0;17;78;75;20;51;8;19;20120202;SUCESSO
28126-4605;12;0;0;20;7;11;9;1;2;20120102;INsucesso
28126-5468;6;0;0;22;77;9;21;0;23;20120202;SUCESSO
28132-5468;14;0;0;46;69;28;22;2;3;20120202;SUCESSO
28149-6388;8;0;48;39;36;64;43;0;1;20130102;INsucesso
28169-4605;34;1;2;128;169;28;58;7;12;20120102;SUCESSO
28170-5468;61;0;2;42;43;39;19;4;4;20120202;INsucesso
28170-7118;36;0;6;33;46;50;35;3;2;20130202;SUCESSO
28178-6398;38;0;0;49;34;53;15;1;9;20130102;SUCESSO
28212-4605;47;0;4;57;63;116;82;4;10;20120102;INsucesso
28231-6388;13;0;0;55;70;39;17;1;14;20130102;SUCESSO
28245-5468;33;0;3;39;16;19;12;5;8;20120202;SUCESSO
28283-6389;1;0;4;7;2;0;17;0;0;20130102;INsucesso
28313-4604;37;0;1;40;59;28;6;1;1;20120102;SUCESSO
28338-6388;9;0;6;62;67;43;7;0;8;20130102;INsucesso
28338-7118;8;0;5;26;74;5;7;0;20;20130202;SUCESSO
28350-6398;10;0;1;21;20;3;32;0;0;20130102;INsucesso
28383-4604;9;0;0;10;12;0;6;0;0;20120102;SUCESSO
28385-4604;105;0;21;116;55;82;28;2;2;20120102;SUCESSO
28423-5469;5;0;8;18;2;0;13;0;1;20120202;INsucesso
28450-4604;6;0;1;18;42;55;18;3;0;20120102;SUCESSO
28454-4605;40;0;1;107;99;24;54;4;8;20120102;SUCESSO
28517-4604;48;0;4;137;178;33;66;6;15;20120102;SUCESSO
29058-6398;20;1;36;67;193;40;61;1;11;20130102;SUCESSO
29128-6389;0;0;1;12;9;0;3;0;0;20130102;INsucesso
29232-4604;30;0;5;42;58;8;13;1;1;20120102;INsucesso
29300-4605;13;0;1;15;9;9;7;2;0;20120102;INsucesso
29492-7118;26;0;14;64;44;39;68;2;1;20130202;SUCESSO
29497-5469;38;0;18;64;81;14;53;3;8;20120202;SUCESSO
29626-4605;21;0;9;26;36;73;23;1;7;20120102;SUCESSO
29688-6398;24;0;3;43;12;28;22;3;8;20130102;SUCESSO
29800-4130;16;0;7;15;23;9;9;2;0;20120102;INsucesso
29800-5468;8;0;2;29;49;1;9;1;1;20120202;SUCESSO
29887-6398;19;0;3;34;21;32;63;1;0;20130102;INsucesso
30137-7118;30;0;4;40;45;55;36;3;0;20130202;SUCESSO
30609-7274;5;0;0;30;10;21;22;0;1;20130202;INsucesso
30627-4604;17;0;9;68;37;98;41;0;11;20120102;SUCESSO
30676-6388;9;0;18;30;43;38;25;0;0;20130102;SUCESSO
30708-5468;46;0;1;53;24;38;50;5;7;20120202;SUCESSO
30732-4130;20;1;36;58;46;18;46;5;24;20120102;SUCESSO
30743-4605;24;1;20;53;56;13;33;3;29;20120102;SUCESSO
30749-4130;14;0;4;46;121;7;107;0;13;20120102;INsucesso
30749-7118;35;1;13;62;136;58;67;3;11;20130202;SUCESSO
30760-4604;16;0;7;41;77;15;28;0;52;20120102;INsucesso
30760-5388;10;0;7;49;101;3;15;2;20;20120202;INsucesso
30763-4605;48;0;19;48;59;28;46;4;10;20120102;SUCESSO
30770-4604;54;0;11;142;189;95;73;5;18;20120102;SUCESSO
30771-5469;21;0;23;72;81;11;35;1;8;20120202;INsucesso
30776-4605;52;0;32;197;209;52;56;0;65;20120102;SUCESSO
30779-4130;64;0;27;59;107;110;29;3;10;20120102;SUCESSO
30795-4130;7;0;32;25;14;15;16;0;0;20120102;SUCESSO
30797-4130;29;0;6;75;72;52;49;5;30;20120102;SUCESSO
30801-4130;20;1;29;56;59;19;54;0;13;20120102;SUCESSO
30806-4604;25;0;53;65;112;38;54;3;30;20120102;SUCESSO
30811-4605;22;0;4;41;26;26;54;1;0;20120102;INsucesso
30821-4605;64;0;92;181;56;212;64;2;47;20120102;SUCESSO
30876-4604;36;2;8;125;219;38;78;4;43;20120102;INsucesso
30879-4604;32;0;6;44;38;18;22;3;10;20120102;SUCESSO
30887-4604;24;0;1;23;18;4;13;4;8;20120102;INsucesso
30907-4604;31;0;4;37;37;14;29;3;1;20120102;INsucesso
30907-5388;36;0;0;29;6;11;29;5;0;20120202;SUCESSO
30961-7274;0;0;0;1;0;0;0;0;0;20130202;INsucesso
30966-5388;55;0;20;79;93;36;57;2;12;20120202;INsucesso
30983-4604;41;0;16;57;57;12;45;5;5;20120102;SUCESSO
30989-4604;36;0;4;94;46;39;40;4;0;20120102;SUCESSO
30990-4604;25;0;12;90;48;58;125;3;5;20120102;SUCESSO
30991-5468;18;0;5;58;167;21;67;4;4;20120202;SUCESSO
31001-4130;28;0;22;49;39;21;65;1;30;20120102;SUCESSO
31005-5468;8;0;7;33;19;2;39;0;0;20120202;INsucesso
31005-6398;5;0;0;11;4;0;4;0;0;20130102;INsucesso
31068-7118;31;0;12;56;82;52;43;5;10;20130202;SUCESSO
31084-4605;19;0;13;52;50;31;18;1;7;20120102;SUCESSO
31090-4605;40;0;141;190;108;87;116;4;3;20120102;SUCESSO
31095-4605;12;0;5;47;78;13;36;0;2;20120102;INsucesso
31095-7274;10;0;0;21;22;0;14;0;0;20130202;INsucesso
31105-4604;31;0;7;61;36;26;29;3;33;20120102;SUCESSO
31106-4130;17;0;13;38;27;47;64;2;28;20120102;SUCESSO
31109-6398;40;2;39;167;183;286;46;4;24;20130102;SUCESSO
31113-6388;18;0;3;61;30;51;46;1;1;20130102;SUCESSO
31134-4130;20;0;4;56;30;17;48;3;0;20120102;SUCESSO
31147-4605;23;0;7;73;111;54;71;4;3;20120102;SUCESSO
31155-5469;19;0;3;39;22;12;28;2;4;20120202;SUCESSO
31161-4605;67;0;37;149;125;56;64;2;29;20120102;SUCESSO
31167-4130;39;0;76;89;147;32;77;4;0;20120102;SUCESSO
31168-4604;28;0;25;41;114;10;56;3;3;20120102;INsucesso
31173-4604;28;0;21;66;69;35;51;3;2;20120102;SUCESSO
31179-4605;30;0;17;94;107;15;42;2;14;20120102;SUCESSO
31187-4605;9;0;8;34;24;19;8;1;0;20120102;SUCESSO
31199-6388;18;0;0;116;153;223;57;2;12;20130102;SUCESSO
31218-4604;22;1;8;48;49;1;58;1;36;20120102;INsucesso
31221-4605;22;0;105;79;130;29;48;2;48;20120102;SUCESSO
31233-4605;41;0;11;45;84;41;75;3;6;20120102;SUCESSO
31234-4605;32;4;19;93;134;98;91;1;17;20120102;SUCESSO
31239-7118;29;0;15;97;202;39;31;3;26;20130202;SUCESSO
31270-6388;17;0;6;159;54;40;90;0;11;20130102;SUCESSO
31273-4605;48;0;26;102;158;42;91;6;9;20120102;INsucesso
31273-5388;14;0;34;62;90;16;22;2;18;20120202;SUCESSO
31283-4605;27;0;18;86;40;60;52;4;18;20120102;SUCESSO
31286-6388;24;0;15;63;71;53;63;1;15;20130102;SUCESSO
31294-4130;54;3;78;157;476;65;131;4;35;20120102;SUCESSO
31299-4605;28;0;27;42;46;7;45;1;13;20120102;INsucesso
31300-4130;23;0;8;30;37;28;50;3;1;20120102;INsucesso
31300-5469;31;0;1;19;20;37;40;5;0;20120202;SUCESSO
31321-4605;25;0;51;26;53;11;24;3;1;20120102;INsucesso
31344-4605;38;0;42;78;274;33;57;2;9;20120102;SUCESSO
31347-4605;50;0;24;72;54;15;35;7;17;20120102;INsucesso
31347-5469;51;0;30;133;145;14;44;8;22;20120202;SUCESSO
31354-5714;17;1;0;17;11;3;25;4;38;20130102;SUCESSO
31361-4604;32;0;50;79;96;21;66;5;18;20120102;SUCESSO
31362-5714;25;0;57;39;38;49;83;5;1;20130102;SUCESSO
31364-4605;34;6;29;93;168;26;54;4;67;20120102;SUCESSO
31366-4604;17;0;4;41;12;11;21;3;4;20120102;SUCESSO
31368-4130;26;0;31;71;68;1;49;3;15;20120102;SUCESSO
31374-5469;15;0;16;100;162;24;58;0;27;20120202;SUCESSO
31385-4130;12;1;5;35;34;0;26;0;10;20120102;INsucesso
31405-7118;10;0;18;53;103;17;50;2;6;20130202;INsucesso
31408-4605;34;0;8;51;54;5;33;3;16;20120102;SUCESSO
31413-4605;37;0;0;50;37;10;42;1;4;20120102;SUCESSO
31419-4605;3;0;3;8;4;0;5;0;10;20120102;INsucesso
31420-5468;34;1;48;125;281;25;90;2;87;20120202;SUCESSO
31425-4604;23;0;29;59;39;20;50;3;7;20120102;SUCESSO
31430-4130;25;1;36;44;30;4;19;1;27;20120102;INsucesso
31430-5468;95;1;15;90;172;72;48;5;26;20120202;SUCESSO
31433-6388;18;0;3;40;61;89;8;2;1;20130102;SUCESSO
31438-4130;25;0;13;81;47;70;67;3;0;20120102;SUCESSO
31471-5468;33;0;29;102;64;51;55;3;0;20120202;SUCESSO
31473-4605;24;0;20;47;31;24;21;2;3;20120102;INsucesso
31475-4604;37;0;7;87;39;22;10;3;78;20120102;SUCESSO
31478-5469;7;0;10;10;30;1;32;0;0;20120202;INsucesso
31478-5714;6;0;8;10;12;0;22;0;1;20130102;SUCESSO
31479-4605;3;0;1;8;1;11;7;0;0;20120102;INsucesso
31481-4604;52;0;71;103;180;39;61;11;34;20120102;SUCESSO
31499-4605;52;0;29;91;60;76;96;4;15;20120102;INsucesso
31499-5388;34;0;23;98;191;112;53;5;8;20120202;SUCESSO
31505-5468;22;0;2;33;16;32;45;2;0;20120202;INsucesso
31513-4605;28;0;4;59;108;18;38;2;20;20120102;SUCESSO
31519-4605;61;0;10;101;121;60;82;3;1;20120102;SUCESSO
31535-4605;24;0;10;59;24;35;29;3;0;20120102;INsucesso
31535-5468;32;0;8;79;51;21;42;8;9;20120202;SUCESSO
31543-5468;3;0;1;8;23;0;14;0;1;20120202;INsucesso
31543-6398;3;0;1;9;33;0;8;0;1;20130102;INsucesso
31543-7274;3;0;3;9;9;0;23;0;1;20130202;INsucesso
31545-5388;24;0;24;31;52;16;28;1;0;20120202;INsucesso
31553-4130;39;0;14;84;219;30;68;3;13;20120102;SUCESSO
31556-5388;65;0;80;168;147;147;104;5;59;20120202;SUCESSO
31563-6398;28;0;18;58;45;25;53;0;8;20130102;INsucesso
31574-4605;12;0;1;34;43;7;12;0;0;20120102;INsucesso
31576-4604;14;9;14;32;28;9;9;1;41;20120102;SUCESSO
31581-4605;38;0;54;94;55;28;19;2;25;20120102;SUCESSO
31583-4130;13;0;22;60;63;45;60;2;3;20120102;SUCESSO
31592-6388;21;0;14;32;7;60;27;4;0;20130102;SUCESSO
31607-4130;11;0;21;12;47;12;5;2;0;20120102;INsucesso
31615-4604;27;0;20;35;66;47;54;4;13;20120102;SUCESSO
31617-4130;24;0;27;51;61;46;15;0;3;20120102;INsucesso
31618-5468;8;0;10;23;67;0;13;0;1;20120202;INsucesso
31618-6388;25;0;11;66;139;18;50;1;9;20130102;SUCESSO
31640-4605;45;0;11;43;21;21;41;6;0;20120102;SUCESSO
31666-4605;15;0;6;16;12;10;10;1;2;20120102;INsucesso
31666-5468;13;1;5;58;53;47;45;1;25;20120202;SUCESSO
31679-4130;13;0;3;29;28;15;36;3;25;20120102;SUCESSO
31689-4130;15;0;0;19;15;20;21;3;4;20120102;SUCESSO
31693-7274;14;0;0;34;59;0;8;2;4;20130202;INsucesso
31698-5388;19;0;3;48;21;25;15;3;0;20120202;INsucesso
31698-5714;31;0;0;23;19;10;29;5;1;20130102;INsucesso
31698-7274;24;0;7;22;15;13;2;3;13;20130202;SUCESSO
31748-4604;28;1;20;60;38;27;94;5;22;20120102;SUCESSO
31750-4604;26;0;6;29;10;96;23;6;0;20120102;SUCESSO
31752-4130;22;0;19;52;37;26;46;3;8;20120102;SUCESSO
31753-5714;20;0;1;46;39;44;52;1;9;20130102;INsucesso
31753-7118;27;0;5;49;68;32;65;3;7;20130202;SUCESSO
31756-4605;2;0;0;3;1;0;1;0;0;20120102;INsucesso
31761-5469;62;0;5;66;52;39;98;1;4;20120202;INsucesso
31769-4604;73;1;35;67;192;34;102;2;41;20120102;SUCESSO
31791-6389;14;0;0;26;29;3;30;1;1;20130102;INsucesso
31794-4605;24;0;22;17;16;2;36;4;1;20120102;INsucesso
31797-4130;5;0;8;19;22;4;16;0;3;20120102;INsucesso
31838-4605;21;0;4;29;16;17;15;1;0;20120102;INsucesso
31850-4605;11;0;0;11;6;4;22;0;2;20120102;INsucesso
31870-4604;85;0;61;142;215;83;38;1;39;20120102;INsucesso
31887-4604;55;0;41;97;184;28;72;2;17;20120102;INsucesso
31898-4604;30;0;17;39;122;65;49;3;1;20120102;SUCESSO
31915-5468;34;0;2;63;113;14;56;3;28;20120202;SUCESSO
31927-4604;4;0;4;13;2;24;8;0;0;20120102;INsucesso
31927-7118;0;0;0;1;0;0;0;0;0;20130202;INsucesso
31958-7274;24;0;1;49;124;31;56;3;0;20130202;SUCESSO
31964-4605;3;0;1;13;2;1;7;0;0;20120102;INsucesso
31980-4604;24;0;4;68;61;67;33;3;0;20120102;SUCESSO
32005-4604;17;0;3;21;34;32;54;3;13;20120102;SUCESSO
32011-5468;42;0;4;35;29;9;19;3;0;20120202;INsucesso
32022-5468;23;0;1;31;68;18;29;3;7;20120202;INsucesso
32081-4605;71;0;1;86;134;73;65;5;3;20120102;INsucesso
32282-5469;20;0;1;21;1;0;20;1;3;20120202;INsucesso
32588-4130;19;0;6;37;25;40;23;2;5;20120102;INsucesso
32724-5469;27;0;15;60;36;19;59;4;0;20120202;SUCESSO
32725-4605;18;0;1;65;64;15;48;0;66;20120102;INsucesso
32790-6388;14;0;4;31;44;11;36;1;1;20130102;SUCESSO
32826-7118;23;0;7;79;69;54;43;3;1;20130202;INsucesso
32853-4605;31;0;22;35;37;7;11;1;21;20120102;INsucesso
32853-5468;20;0;1;31;27;1;6;1;3;20120202;INsucesso
32853-6398;5;0;0;7;1;0;0;0;0;20130102;INsucesso
32869-5714;61;0;19;64;246;31;120;3;9;20130102;SUCESSO
32885-5714;19;0;9;39;56;2;22;1;1;20130102;INsucesso
32932-4604;37;0;49;53;47;38;30;3;11;20120102;INsucesso
32952-4130;0;1;0;2;1;1;1;0;2;20120102;INsucesso
32989-5468;26;0;0;58;50;6;48;2;2;20120202;INsucesso
33006-4130;24;0;66;89;98;47;78;1;12;20120102;INsucesso
33035-4605;79;2;119;177;297;91;112;5;21;20120102;SUCESSO
33260-4604;41;0;1;84;28;55;92;5;4;20120102;SUCESSO
